sentence1,sentence2,similarity
居住地详细地址,居住地详细地址,entailment
联系电话,联系电话,entailment
门楼详址,户籍门楼详址,entailment
民族,民族,entailment
所属派出所名称,所属派出所,entailment
所属省市县区,所在省市县区,entailment
所属乡镇（街道）,所属乡镇街道,entailment
死亡日期,死亡日期,entailment
死亡原因,死亡原因,entailment
死亡注销类别,死亡注销类别,entailment
文化程度,学历,entailment
性别,性别,entailment
所属县级公安机关名称,所属县级公安机关,entailment
姓名,姓名,entailment
乡镇街道代码,乡镇街道代码,entailment
宗教信仰,宗教信仰,entailment
注销标识,户籍注销标识,entailment
注销日期,户籍注销日期,entailment
职业,职业,entailment
住址,住址,entailment
相片URL,个人照片,entailment
姓名,姓名,entailment
公民身份证号,公民身份号码,entailment
户号,户号,entailment
与户主关系,与户主关系,entailment
户主姓名,户主姓名,entailment
户主公民身份号码,户主公民身份号码,entailment
户别,户口类别,entailment
户类型,户籍类型,entailment
姓名,姓名,entailment
公民身份证号,公民身份号码,entailment
户号,户号,entailment
何国家（地区）来本址,何国家地区来本址,entailment
何省市县（区）来本址,何省市县区来本址,entailment
何详址来本址,何详址来本址,entailment
何地迁来本市国家（地区）,何地迁来本市国家地区,entailment
何地迁来本市省市县（区）,何地迁来本市省市县区,entailment
何地迁来本市详址,何地迁来本市详址,entailment
户籍地省市县（区）,户籍地省市区县,entailment
户籍地详细地址,户籍地址区划内详细地址,entailment
何迁移流动原因迁来,何迁移流动原因迁来,entailment
何迁移流动原因迁来本址,何迁移流动原因迁来本址,entailment
何时迁来本市,何时迁来本市,entailment
何时来本址,何时来本址,entailment
何因迁来本市,何因迁来本市,entailment
何因来本址,何因来本址,entailment
迁出迁移（流动）原因,迁出迁移流动原因,entailment
迁出日期,户口迁出日期,entailment
迁出注销类别,迁出注销类别,entailment
前往国家（地区）,户口迁往国家地区,entailment
迁往地省市县（区）,迁往地省市县区,entailment
迁往地详址,迁往地详址,entailment
登记日期,登记日期,entailment
公民身份号码,公民身份号码,entailment
户籍地,户籍地,entailment
户籍门(楼)详址,户籍门楼详址,entailment
婚姻状况,婚姻状况,entailment
籍贯,籍贯,entailment
流入原因,流动人口流入原因,entailment
联系方式,联系电话,entailment
民族,民族,entailment
是否婚育证明(0否1是),是否婚育证明,entailment
性别,性别,entailment
学历,学历,entailment
姓名,姓名,entailment
已居住时限,已居住时限,entailment
宗教信仰,宗教信仰,entailment
职业类别,职业类别,entailment
政治面貌,政治面貌,entailment
经济来源,经济来源,entailment
现住门(楼)详址,现住门楼详址,entailment
登记日期,登记日期,entailment
街路巷,街路巷,entailment
派出所,所属派出所,entailment
县（市、区）,所在市县区,entailment
居住地址,居住地址,entailment
居住证号,居住证号,entailment
初次签发日期,初次签发日期,entailment
发证地公安机关,发证地公安机关,entailment
发证地公安机关代码,居住证发证地公安机关代码,entailment
发证日期,发证日期,entailment
户口省县,户口所在省市县区,entailment
民族,民族,entailment
签注到期日期,签注到期日期,entailment
签注日期,签注日期,entailment
公民身份号码,公民身份号码,entailment
性别,性别,entailment
姓名,姓名,entailment
证件状态,居住证状态,entailment
注销日期,居住证注销日期,entailment
注销原因,注销原因,entailment
居住证内部编号,居住证内部编号,entailment
住址,住址,entailment
出生日期,出生日期,entailment
证件类型,身份证件类型,entailment
通行证号码,通行证号码,entailment
收缴时间,收缴时间,entailment
委托人姓名,委托人姓名,entailment
委托人身份证号,委托人公民身份号码,entailment
所属部门,所属部门,entailment
发证机关名称,发证机关,entailment
销毁时间,销毁时间,entailment
截止日期,有效截止日期,entailment
发放时间,发放时间,entailment
填发时间,填发时间,entailment
身份证号,公民身份号码,entailment
单位标识,所属单位,entailment
姓名,姓名,entailment
前往地点,边防通行证前往地点,entailment
事由,申请事由,entailment
发送时间,申请时间,entailment
性别,性别,entailment
签发地,证件签发地,entailment
签发时间,发证日期,entailment
起始日期,有效期开始日期,entailment
状态标识,边防通行证状态,entailment
出境原因,出境原因,entailment
出生地,出生地,entailment
出生日期,出生日期,entailment
国籍,国籍,entailment
民族,民族,entailment
是否过期,是否过期,entailment
证件号码,身份证件号码,entailment
审批机关,审批机关,entailment
性别,性别,entailment
英文名,英文姓名,entailment
护照号码,护照号码,entailment
证件签发日期,出入境证件签发日期,entailment
证件有效期,出入境证件有效期,entailment
护照类型,护照类型,entailment
中文名,中文姓名,entailment
出生年月,出生年月,entailment
发证时间,发证时间,entailment
回国时间,回国时间,entailment
家庭住址,家庭住址,entailment
联系电话,联系电话,entailment
侨居国,侨居国,entailment
所属单位,所属单位,entailment
性别,性别,entailment
姓名,姓名,entailment
状态,证件状态,entailment
归侨证编号,归侨证编号,entailment
出生年月,出生年月,entailment
电话,联系电话,entailment
归国后本人简历,归国后本人简历,entailment
归国前本人简历,归国前本人简历,entailment
国内家庭主要成员,国内家庭主要成员,entailment
国外实际居住时间,国外实际居住时间,entailment
工作单位及职务职称,工作单位及职务职称,entailment
何时回国,回国时间,entailment
何时加入何党派,何时加入何党派,entailment
籍贯,籍贯,entailment
家庭地址,家庭地址,entailment
民族,民族,entailment
文化程度,学历,entailment
性别,性别,entailment
姓名,姓名,entailment
原侨居国（地）,原侨居国家地区,entailment
出入境证件类别及号码,出入境证件类别及号码,entailment
出生日期,出生日期,entailment
国内电话,国内联系电话,entailment
拟定居地,拟定居地,entailment
批准日期,备案批准日期,entailment
姓名,姓名,entailment
原侨居国,原侨居国,entailment
定居证号码,华侨定居证号码,entailment
报名地,报名地,entailment
毕业学校,毕业院校,entailment
户籍,户籍地,entailment
加分项目,加分项目,entailment
考生号,考生号,entailment
性别,性别,entailment
序号,三侨子女序号,entailment
终审部门意见,终审部门意见,entailment
姓名,姓名,entailment
备案时间,备案时间,entailment
出租房屋坐落,出租房屋坐落,entailment
房屋设计用途,房屋用途,entailment
房屋租赁用途,房屋租赁用途,entailment
备案机关,备案机关,entailment
承租人,承租人,entailment
承租人证件号码,承租人身份证件号码,entailment
承租人证件类型,承租人身份证件类型,entailment
出租人,出租人,entailment
出租人证件号码,出租人身份证件号码,entailment
出租人证件类型,出租人身份证件号码,entailment
状态,备案状态,entailment
合同约定的租金数额,合同约定的租金数额,entailment
合同约定的租赁期限,租赁期限,entailment
备案号,房产交易备案号,entailment
判决结果,司法案件判决结果,entailment
判决时间,判决时间,entailment
判决法院名称,判决法院,entailment
男方姓名,男方姓名,entailment
男方身份证号码,男方公民身份号码,entailment
女方姓名,女方姓名,entailment
女方身份证号码,女方公民身份号码,entailment
生效时间,司法案件判决生效时间,entailment
案号代码,案号,entailment
女方出生日期,女方出生日期,entailment
女方证件类型,女方身份证件类型,entailment
女方身份证号码,女方公民身份号码,entailment
女方姓名,女方姓名,entailment
女方国籍,女方国籍,entailment
男方出生日期,男方出生日期,entailment
男方证件类型,男方身份证件类型,entailment
男方身份证号码,男方公民身份号码,entailment
男方姓名,男方姓名,entailment
男方国籍,男方国籍,entailment
登记日期,登记日期,entailment
登记机关名称,登记机关,entailment
登记类型,结离婚登记类型,entailment
业务类型,婚姻业务类型,entailment
登记字,结婚登记字,entailment
登记号,结离婚登记号,entailment
结（离）婚证备注,结离婚证备注,entailment
姓名,姓名,entailment
公民身份证号,公民身份号码,entailment
配偶姓名,配偶姓名,entailment
配偶公民身份号码,配偶公民身份号码,entailment
父亲姓名,父亲姓名,entailment
父亲公民身份号码,父亲公民身份号码,entailment
母亲姓名,母亲姓名,entailment
母亲公民身份号码,母亲公民身份号码,entailment
监护人一姓名,第一监护人姓名,entailment
监护人一公民身份号码,第一监护人公民身份号码,entailment
监护人一监护关系,第一监护人监护关系,entailment
监护人一联系电话,第一监护人联系电话,entailment
监护人二姓名,第二监护人姓名,entailment
监护人二公民身份号码,第二监护人公民身份号码,entailment
监护人二监护关系,第二监护人监护关系,entailment
监护人二联系电话,第二监护人联系电话,entailment
班级名称,班级名称,entailment
残疾类型,残疾类别,entailment
出生地,出生地,entailment
出生日期,出生日期,entailment
港澳台侨外,是否港澳台侨外,entailment
国籍地区,国籍地区,entailment
个人标识码,学生个人标识码,entailment
户口所在地,户籍地,entailment
就读状态,就读状态,entailment
籍贯,籍贯,entailment
监护人身份证件号,监护人公民身份号码,entailment
监护人姓名,监护人姓名,entailment
家庭住址,家庭住址,entailment
民族,民族,entailment
年级名称,年级,entailment
入学年月,入学年月,entailment
是否孤儿,是否孤儿,entailment
是否进城务工人员随迁子女,是否进城务工人员随迁子女,entailment
是否留守儿童,是否留守儿童,entailment
是否外来务工人员子女,是否外来务工人员子女,entailment
身份证件号,公民身份号码,entailment
身份证件类型,身份证件类型,entailment
是否在校,是否在校,entailment
性别,性别,entailment
姓名,姓名,entailment
学校标识码,学校标识码,entailment
学校名称,学校名称,entailment
学校所属行政区划,所属行政区划,entailment
英文姓名,英文姓名,entailment
全国学籍号,全国学籍号,entailment
姓名,姓名,entailment
身份证号码,公民身份号码,entailment
全国学籍号,全国学籍号,entailment
就读学段,就读学段,entailment
就读状态,就读状态,entailment
区县,区县,entailment
学校,学校,entailment
年级,年级,entailment
班级,班级,entailment
性别,性别,entailment
入学年月,入学年月,entailment
学校标识码,学校标识码,entailment
第一监护人姓名,第一监护人姓名,entailment
第二监护人姓名,第二监护人姓名,entailment
班级名称,班级名称,entailment
出生地,出生地,entailment
出生日期,出生日期,entailment
港澳台侨外,是否港澳台侨外,entailment
国籍地区,国籍地区,entailment
个人标识码,学生个人标识码,entailment
户口所在地,户籍地,entailment
就读状态,就读状态,entailment
籍贯,籍贯,entailment
家庭住址,家庭住址,entailment
民族,民族,entailment
年级名称,年级,entailment
入学方式,入学方式,entailment
入学年月,入学年月,entailment
是否进城务工人员随迁子女,是否进城务工人员随迁子女,entailment
身份证件号,公民身份号码,entailment
身份证件类型,身份证件类型,entailment
性别,性别,entailment
姓名,姓名,entailment
学生类别,学生类别,entailment
学校标识码,学校标识码,entailment
学校名称,学校名称,entailment
学校所属行政区划,所属行政区划,entailment
班级名称,班级名称,entailment
层次,学历,entailment
出生日期,出生日期,entailment
当年所在级,年级,entailment
入学日期,入学日期,entailment
身份证号,公民身份号码,entailment
性别,性别,entailment
学号,学号,entailment
姓名,姓名,entailment
学习形式,学习形式,entailment
学制,学制,entailment
院校名称,院校名称,entailment
照片,个人照片,entailment
专业名称,专业名称,entailment
报道地址,报道地址,entailment
报道结束日期,报道结束日期,entailment
报道开始日期,报道开始日期,entailment
报道证号,报到证号码,entailment
毕业年份,毕业年份,entailment
档案材料,档案材料,entailment
发证机关,发证机关,entailment
发证日期,发证日期,entailment
联系电话,联系电话,entailment
培养方式,培养方式,entailment
是否师范生,是否师范生,entailment
身份证号,公民身份号码,entailment
是否专业对口,是否专业对口,entailment
证照状态,毕业证状态,entailment
生源地,生源地,entailment
性别,性别,entailment
学历,学历,entailment
姓名,姓名,entailment
学校名称,学校名称,entailment
修业年限,修业年限,entailment
专业名称,专业名称,entailment
是否毕（结）业,是否毕结业,entailment
毕（结）业日期,毕结业日期,entailment
层次,学历,entailment
证照状态,毕业证状态,entailment
民族,民族,entailment
入学日期,入学日期,entailment
身份证号,公民身份号码,entailment
证照有效截至日期,证照有效截至日期,entailment
证照有效开始日期,证照有效开始日期,entailment
性别,性别,entailment
姓名,姓名,entailment
学校名称,学校名称,entailment
学习形式,学习形式,entailment
校（院）长姓名,校院长姓名,entailment
学制,学制,entailment
照片,个人照片,entailment
证书编号,毕业证书编号,entailment
专业,专业名称,entailment
政治面貌,政治面貌,entailment
毕业年月,毕业年月,entailment
证照状态,学位证状态,entailment
出生日期,出生日期,entailment
国别,国籍,entailment
获学位日期,获得学位日期,entailment
民族,民族,entailment
入学年月,入学年月,entailment
省市名称,省市名称,entailment
证照有效截至日期,证照有效截至日期,entailment
证照有效开始日期,证照有效开始日期,entailment
性别,性别,entailment
姓名,姓名,entailment
学位类别,学位类别,entailment
学位授予单位,学位授予单位,entailment
学位证编号,学位证书编号,entailment
学制,学制,entailment
校长姓名,校长姓名,entailment
证件号码,身份证件号码,entailment
证件类型,身份证件类型,entailment
照片,个人照片,entailment
照片状态,个人照片状态,entailment
证书大类,学位大类,entailment
证书分类,学位证书分类,entailment
主席姓名,学位证主席姓名,entailment
专业名称,专业名称,entailment
政治面貌,政治面貌,entailment
市,市,entailment
区县,区县,entailment
所在学校,所属学校,entailment
教师姓名,教师姓名,entailment
性别,性别,entailment
民族,民族,entailment
岗位资格证书,资格证书编号,entailment
任教学科,任教学科,entailment
学校标识码,学校标识码,entailment
单位类别,所属单位类别,entailment
身份证号码,公民身份号码,entailment
教师资格种类名称,教师资格种类名称,entailment
教师资格证书号码,资格证证书编号,entailment
认定机构名称,认定机构名称,entailment
成绩,成绩,entailment
成绩类型,成绩类型,entailment
归档日期,归档日期,entailment
科目名称,考试科目,entailment
考试日期,考试日期,entailment
免考标识,免考标识,entailment
身份证号,公民身份号码,entailment
学分,学分,entailment
姓名,姓名,entailment
准考证号,准考证号,entailment
专业名称,专业名称,entailment
保安员岗位,保安员岗位,entailment
保安资格证编号,保安资格证编号,entailment
出生日期,出生日期,entailment
公民身份号码,公民身份号码,entailment
工作部门,工作单位,entailment
户籍地详址,户籍地址详址,entailment
离职日期,离职日期,entailment
离职原因,离职原因,entailment
民族,民族,entailment
入职日期,入职日期,entailment
性别,性别,entailment
姓名,姓名,entailment
